Date,New Tests,New Cases,1-Day %,7-Day %,14-Day %,7-day Positives Average,Current Hospitalizations,New Deaths,baseline
11/4/2020,1315819,105996,8.06%,7.88%,6.91%,104281.86,52166,1131,0
11/5/2020,1620937,119023,7.34%,8.00%,7.04%,108518.71,53380,1154,0
11/6/2020,1703139,129990,7.63%,8.10%,7.19%,113097.00,55005,1185,0
11/7/2020,1464227,132113,9.02%,8.52%,7.41%,118928.29,56037,1125,0
11/8/2020,1256338,112445,8.95%,8.13%,7.65%,114710.00,56942,513,0
11/9/2020,1396911,118403,8.48%,8.36%,7.84%,119702.71,59342,577,0
11/10/2020,1384059,135569,9.80%,8.42%,8.07%,121934.14,62119,1358,0
11/11/2020,1491718,149333,10.01%,8.69%,8.31%,128125.14,65549,1577,0
11/12/2020,1614770,157542,9.76%,9.07%,8.56%,133627.86,67236,1112,0
11/13/2020,1739869,174633,10.04%,9.47%,8.81%,140005.43,68585,1301,0
11/14/2020,1770614,167726,9.47%,9.53%,9.05%,145093.00,69588,1353,0
11/15/2020,1615846,147062,9.10%,9.54%,8.87%,150038.29,70202,712,0
11/16/2020,1500776,149977,9.99%,9.73%,9.08%,154548.86,73320,607,0
11/17/2020,1633058,159826,9.79%,9.73%,9.11%,158014.14,77047,1553,0
11/18/2020,1697379,168220,9.91%,9.72%,9.24%,160712.29,79478,1885,0
11/19/2020,1843217,187932,10.20%,9.79%,9.46%,165053.71,80669,2010,0
11/20/2020,2001834,197164,9.85%,9.76%,9.63%,168272.43,82318,1910,0
11/21/2020,2124348,186385,8.77%,9.64%,9.59%,170938.00,83346,1551,0
11/22/2020,1807246,154188,8.53%,9.55%,9.54%,171956.00,83882,923,0
11/23/2020,1689660,154696,9.16%,9.44%,9.58%,172630.14,85945,853,0
11/24/2020,1870865,166503,8.90%,9.32%,9.51%,173584.00,88132,2091,0
11/25/2020,1875337,188496,10.05%,9.35%,9.52%,176480.57,90043,2281,0
11/26/2020,1449827,129764,8.95%,9.18%,9.47%,168170.86,90564,1392,0
11/27/2020,1964708,198874,10.12%,9.22%,9.49%,168415.14,89913,1404,0
11/28/2020,1673261,151469,9.05%,9.28%,9.46%,163427.14,91762,1243,0
11/29/2020,1329337,137254,10.32%,9.51%,9.53%,161008.00,93357,825,0
11/30/2020,1544710,150031,9.71%,9.59%,9.51%,160341.57,96134,1037,0
12/1/2020,1495847,181183,12.11%,10.03%,9.65%,162438.71,98736,2489,0
12/2/2020,1589017,203429,12.80%,10.43%,9.84%,164572.00,100327,2811,0
12/3/2020,1899758,216271,11.38%,10.77%,9.93%,176930.14,100746,2822,0
12/4/2020,1916797,230313,12.02%,11.09%,10.11%,181421.43,101309,2563,0
12/5/2020,2294220,219070,9.55%,11.08%,10.17%,191078.71,101192,2486,0
12/6/2020,1660645,182580,10.99%,11.15%,10.35%,197553.86,101501,1163,0
12/7/2020,1667617,181897,10.91%,11.30%,10.47%,202106.14,102122,1291,0
12/8/2020,1689610,217844,12.89%,11.41%,10.76%,207343.43,104637,2680,0
12/9/2020,1833158,216728,11.82%,11.30%,10.90%,209243.29,106671,3169,0
12/10/2020,1966130,220846,11.23%,11.28%,11.04%,209896.86,107300,3132,0
12/11/2020,1966363,236933,12.05%,11.29%,11.20%,210842.57,108101,2747,0
12/12/2020,1909239,226904,11.88%,11.69%,11.39%,211961.71,108461,2497,0
12/13/2020,1818841,187251,10.30%,11.58%,11.37%,212629.00,109298,1501,0
12/14/2020,2019299,193286,9.57%,11.36%,11.33%,214256.00,110573,1357,0
12/15/2020,1837558,193218,10.51%,11.05%,11.23%,210738.00,112816,2924,0
12/16/2020,1841248,234288,12.72%,11.17%,11.24%,213246.57,113257,3453,0
12/17/2020,1908990,242970,12.73%,11.39%,11.33%,216407.14,114492,3465,0
12/18/2020,2192975,241786,11.03%,11.23%,11.26%,217100.43,113955,2866,0
12/19/2020,1851077,204873,11.07%,11.12%,11.40%,213953.14,113914,2708,0
12/20/2020,1812903,197494,10.89%,11.20%,11.39%,215416.43,113601,1668,0
12/21/2020,1985926,179406,9.03%,11.12%,11.24%,213433.57,115358,1480,0
12/22/2020,1770087,193008,10.90%,11.18%,11.11%,213403.57,117777,3137,0
12/23/2020,1793527,224526,12.52%,11.15%,11.16%,212009.00,119463,3393,0
12/24/2020,2031115,206684,10.18%,10.77%,11.08%,206825.29,120200,2958,0
12/25/2020,1557157,126796,8.14%,10.41%,10.83%,190398.14,118948,1553,0
12/26/2020,1964813,190594,9.70%,10.21%,10.67%,188358.29,117344,1426,0
12/27/2020,1392875,153540,11.02%,10.20%,10.72%,182079.14,118720,1397,0
12/28/2020,1348338,164127,12.17%,10.62%,10.89%,179896.43,121202,1490,0
12/29/2020,1346327,199679,14.83%,11.07%,11.13%,180849.43,124686,3289,0
12/30/2020,1583788,229496,14.49%,11.32%,11.23%,181559.43,125220,3900,0
12/31/2020,1798139,226246,12.58%,11.74%,11.21%,184354.00,125423,3297,0
1/1/2021,1532949,182906,11.93%,12.28%,11.27%,192369.71,125047,2592,0
1/2/2021,1938159,280318,14.46%,13.13%,11.55%,205187.43,123614,2406,0
1/3/2021,1442627,208457,14.45%,13.57%,11.78%,213032.71,125562,1455,0
1/4/2021,1515511,179571,11.85%,13.50%,12.02%,215239.00,128210,1547,0
1/5/2021,1725067,219075,12.70%,13.23%,12.15%,218009.86,131195,3484,0
1/6/2021,1650799,250184,15.16%,13.33%,12.34%,220965.29,132474,3902,0
1/7/2021,1927584,272043,14.11%,13.57%,12.69%,227507.71,132370,4079,0
1/8/2021,2144282,295121,13.76%,13.81%,13.09%,243538.43,131921,3780,0
1/9/2021,2127454,269368,12.66%,13.51%,13.33%,241974.14,130781,3537,0
1/10/2021,2042132,228732,11.20%,13.05%,13.29%,244870.57,129223,2068,0
1/11/2021,1711740,195255,11.41%,12.98%,13.22%,247111.14,129793,1733,0
1/12/2021,1944448,218020,11.21%,12.76%,12.98%,246960.43,131326,4064,0
1/13/2021,1828751,224491,12.28%,12.41%,12.83%,243290.00,130391,4087,0
1/14/2021,2047062,225616,11.02%,11.96%,12.70%,236657.57,128947,3915,0
1/15/2021,2309186,246454,10.67%,11.48%,12.57%,229705.14,127235,3679,0
1/16/2021,2105406,218085,10.36%,11.13%,12.26%,222379.00,126139,3709,0
1/17/2021,1906232,187218,9.82%,10.94%,11.97%,216448.43,124387,2053,0
1/18/2021,1763622,150792,8.55%,10.58%,11.75%,210096.57,123848,1395,0
1/19/2021,1664085,146626,8.81%,10.27%,11.51%,199897.43,123820,2141,0
1/20/2021,1821912,189203,10.38%,10.02%,11.22%,194856.29,122700,4409,0
1/21/2021,1922481,186275,9.69%,9.82%,10.90%,189236.14,119949,3878,0
1/22/2021,2021190,190915,9.45%,9.61%,10.57%,181302.00,116264,3980,0
1/23/2021,1982215,177118,8.94%,9.39%,10.29%,175449.57,113609,3591,0
1/24/2021,1776403,144234,8.12%,9.15%,10.07%,169309.00,110628,1944,0
1/25/2021,1649824,133454,8.09%,9.10%,9.87%,166832.14,109936,1593,0
1/26/2021,1734613,146448,8.44%,9.05%,9.67%,166806.71,108960,3734,0
1/27/2021,1627761,153985,9.46%,8.91%,9.48%,161775.57,107444,4077,0
1/28/2021,1936273,157306,8.12%,8.67%,9.26%,157637.14,104303,4011,0
1/29/2021,1954121,167111,8.55%,8.53%,9.08%,154236.57,101003,3503,0
1/30/2021,2126781,148824,7.00%,8.21%,8.81%,150194.57,97561,2982,0
1/31/2021,1713145,119367,6.97%,8.06%,8.61%,146642.14,95013,2059,0
2/1/2021,1531083,120200,7.85%,8.03%,8.57%,144748.71,93536,1562,0
2/2/2021,1386150,117616,8.49%,8.02%,8.55%,140629.86,92880,3486,0
2/3/2021,1384837,116960,8.45%,7.87%,8.40%,135340.57,91440,3685,0
2/4/2021,1663703,123907,7.45%,7.77%,8.24%,130569.29,88668,5212,0
2/5/2021,1867248,131146,7.02%,7.52%,8.04%,125431.43,86373,3543,0
2/6/2021,1878053,114557,6.10%,7.39%,7.82%,120536.14,84233,2994,0
2/7/2021,1488925,95994,6.45%,7.32%,7.71%,117197.14,81439,1475,0
2/8/2021,1418419,77737,5.48%,7.02%,7.55%,111131.00,80055,1309,0
2/9/2021,1488749,92986,6.25%,6.73%,7.41%,107612.43,79179,2795,0
2/10/2021,1382752,95194,6.88%,6.54%,7.23%,104503.00,76979,3445,0
2/11/2021,1854856,102417,5.52%,6.24%,7.02%,101433.00,74225,3873,0
2/12/2021,1811013,101030,5.58%,6.00%,6.77%,97130.71,71497,5427,0
2/13/2021,1748910,90642,5.18%,5.86%,6.63%,93714.29,69283,3467,0
2/14/2021,1429335,72164,5.05%,5.68%,6.50%,90310.00,67023,1366,0
2/15/2021,1118595,55077,4.92%,5.63%,6.33%,87072.86,65455,1078,0
2/16/2021,1050035,56312,5.36%,5.51%,6.14%,81833.71,64533,1353,0
2/17/2021,1324634,66839,5.05%,5.27%,5.93%,77783.00,63405,2348,0
2/18/2021,1345792,66824,4.97%,5.18%,5.75%,72698.29,62300,2616,0
2/19/2021,1866611,74676,4.00%,4.88%,5.48%,68933.43,59882,2477,0
2/20/2021,1279152,72354,5.66%,4.93%,5.44%,66320.86,58222,2160,0
2/21/2021,1225239,58702,4.79%,4.89%,5.32%,64397.71,56159,1287,0
2/22/2021,1230307,52530,4.27%,4.81%,5.25%,64033.86,55403,1235,0
2/23/2021,1195518,69105,5.78%,4.87%,5.21%,65861.43,55058,2241,0
2/24/2021,1450153,73258,5.05%,4.87%,5.08%,66778.43,54118,2447,0
2/25/2021,1825959,75565,4.14%,4.73%,4.95%,68027.14,52669,3138,0
2/26/2021,1802643,74857,4.15%,4.76%,4.82%,68053.00,51112,2141,0
2/27/2021,1647637,71245,4.32%,4.58%,4.75%,67894.57,48871,1847,0
2/28/2021,1398018,54349,3.89%,4.46%,4.66%,67272.71,47352,1051,0
3/1/2021,1171361,48092,4.11%,4.45%,4.62%,66638.71,46738,1241,0
3/2/2021,1345162,54248,4.03%,4.24%,4.54%,64516.29,46388,1728,0
3/3/2021,1401364,66836,4.77%,4.20%,4.52%,63598.86,45462,2449,0
