Week,New Cases,% Positivity,New Tests,Trend,Days Tracked,Year
CURRENT,+178191,8.58%,2076374,Unclear,2,2020
12/21-12/27,+178191,8.58%,2076374,Unclear,2,2020
12/14-12/20,+1492133,11.20%,13325829,Stable,7,2020
12/07-12/13,+1474278,11.65%,12655280,Increasing,7,2020
11/30-12/06,+1368675,11.18%,12237459,Increasing,7,2020
11/23-11/29,+1118629,9.60%,11655832,Decreasing,7,2020
11/16-11/22,+1193267,9.67%,12342194,Increasing,7,2020
11/09-11/15,+1040899,9.65%,10781474,Increasing,7,2020
11/02-11/08,+766423,7.91%,9684014,Increasing,7,2020
10/26-11/01,+633427,7.22%,8767342,Increasing,7,2020
10/19-10/25,+482513,5.81%,8307060,Increasing,7,2020
10/12-10/18,+383893,4.85%,7921389,Stable,7,2020
10/05-10/11,+343765,4.46%,7705169,Stable,7,2020
09/28-10/04,+300619,4.14%,7257143,Stable,7,2020
09/21-09/27,+308010,4.54%,6781835,Increasing,7,2020
