#,Date,7-Day %,14-Day %
1,11/29/2020,4.80,3.95
2,11/30/2020,5.08,4.10
3,12/1/2020,5.40,4.31
4,12/2/2020,5.47,4.48
5,12/3/2020,5.34,4.65
6,12/4/2020,5.26,4.82
7,12/5/2020,5.28,4.94
8,12/6/2020,5.30,5.07
9,12/7/2020,5.38,5.25
10,12/8/2020,5.35,5.37
11,12/9/2020,5.44,5.45
12,12/10/2020,5.55,5.44
13,12/11/2020,5.65,5.46
14,12/12/2020,5.74,5.51
15,12/13/2020,5.86,5.58
16,12/14/2020,5.94,5.66
17,12/15/2020,6.11,5.73
18,12/16/2020,6.10,5.77
19,12/17/2020,6.18,5.85
20,12/18/2020,6.20,5.92
21,12/19/2020,6.25,5.99
22,12/20/2020,6.26,6.06
23,12/21/2020,6.43,6.18
24,12/22/2020,6.61,6.35
25,12/23/2020,6.92,6.51
26,12/24/2020,7.14,6.68
27,12/25/2020,7.51,6.82
28,12/26/2020,7.85,7.01
29,12/27/2020,8.03,7.09
30,12/28/2020,8.60,7.42
31,12/29/2020,9.08,7.73
32,12/30/2020,9.39,8.04
33,12/31/2020,9.41,8.16
34,1/1/2021,9.43,8.46
35,1/2/2021,9.47,8.66
36,1/3/2021,9.54,8.79
37,1/4/2021,9.41,9.02
38,1/5/2021,9.35,9.23
39,1/6/2021,9.18,9.28
40,1/7/2021,9.08,9.22
41,1/8/2021,8.85,9.08
42,1/9/2021,8.82,9.09
43,1/10/2021,8.85,9.14
44,1/11/2021,8.80,9.06
45,1/12/2021,8.65,8.95
46,1/13/2021,8.64,8.88
47,1/14/2021,8.67,8.86
48,1/15/2021,8.74,8.79
49,1/16/2021,8.76,8.79
50,1/17/2021,8.74,8.80
51,1/18/2021,8.99,8.89
52,1/19/2021,8.85,8.75
53,1/20/2021,8.87,8.75
54,1/21/2021,8.76,8.71
55,1/22/2021,8.65,8.70
56,1/23/2021,8.63,8.70
57,1/24/2021,8.64,8.69
58,1/25/2021,8.41,8.68
59,1/26/2021,8.47,8.66
60,1/27/2021,8.46,8.66
61,1/28/2021,8.44,8.60
62,1/29/2021,8.32,8.48
63,1/30/2021,8.26,8.45
64,1/31/2021,8.20,8.42
65,2/1/2021,8.11,8.27
66,2/2/2021,8.23,8.37
67,2/3/2021,8.24,8.36
68,2/4/2021,8.25,8.36
69,2/5/2021,8.31,8.31
70,2/6/2021,8.35,8.30
71,2/7/2021,8.23,8.21
72,2/8/2021,8.01,8.06
73,2/9/2021,7.70,7.94
74,2/10/2021,7.42,7.79
75,2/11/2021,7.13,7.64
76,2/12/2021,7.07,7.64
77,2/13/2021,6.90,7.58
78,2/14/2021,6.92,7.52
79,2/15/2021,6.99,7.52
80,2/16/2021,6.97,7.36
81,2/17/2021,7.00,7.22
82,2/18/2021,7.00,7.07
83,2/19/2021,6.88,6.98
84,2/20/2021,6.90,6.90
85,2/21/2021,6.91,6.92
86,2/22/2021,6.59,6.79
87,2/23/2021,6.43,6.70
88,2/24/2021,6.26,6.62
89,2/25/2021,6.22,6.58
90,2/26/2021,6.09,6.46
