Date,New Tests,New Cases,1-Day %,7-Day %,14-Day %,7-day Positives Average,Current Hospitalizations,New Deaths,baseline
10/26/2020,82117,1191,1.45%,1.34%,1.25%,1625.14,1059,12,0
10/27/2020,111618,1991,1.78%,1.39%,1.28%,1738.00,1083,16,0
10/28/2020,129660,2031,1.57%,1.39%,1.31%,1738.71,1085,15,0
10/29/2020,168353,2499,1.48%,1.43%,1.34%,1863.14,1085,19,0
10/30/2020,146885,2255,1.54%,1.49%,1.37%,1951.43,1085,12,0
10/31/2020,136962,2049,1.50%,1.52%,1.40%,1949.71,1121,3,0
11/1/2020,148935,2255,1.51%,1.54%,1.43%,2038.71,1125,17,0
11/2/2020,96101,1633,1.70%,1.57%,1.46%,2101.86,1151,14,0
11/3/2020,127869,2321,1.82%,1.58%,1.49%,2149.00,1227,15,0
11/4/2020,133534,2126,1.59%,1.58%,1.49%,2162.57,1253,15,0
11/5/2020,161019,2997,1.86%,1.64%,1.54%,2233.71,1277,24,0
11/6/2020,160705,3209,2.00%,1.72%,1.61%,2370.00,1321,18,0
11/7/2020,163291,3587,2.20%,1.83%,1.68%,2589.71,1381,18,0
11/8/2020,145642,3428,2.35%,1.95%,1.76%,2757.29,1396,19,0
11/9/2020,111416,3144,2.82%,2.07%,1.83%,2973.14,1444,26,0
11/10/2020,128036,3965,3.10%,2.24%,1.91%,3208.00,1548,32,0
11/11/2020,164300,4820,2.93%,2.43%,2.02%,3592.86,1628,21,0
11/12/2020,162627,4797,2.95%,2.60%,2.14%,3850.00,1677,29,0
11/13/2020,203721,5401,2.65%,2.70%,2.24%,4163.14,1737,24,0
11/14/2020,184162,5388,2.93%,2.81%,2.35%,4420.43,1788,24,0
11/15/2020,133202,3649,2.74%,2.87%,2.43%,4452.00,1845,30,0
11/16/2020,124565,3490,2.80%,2.86%,2.49%,4501.43,1968,26,0
11/17/2020,159852,5088,3.18%,2.88%,2.58%,4661.86,2124,30,0
11/18/2020,154434,5294,3.43%,2.95%,2.70%,4729.57,2202,36,0
11/19/2020,195239,5310,2.72%,2.91%,2.76%,4802.86,2276,32,0
11/20/2020,205466,5468,2.66%,2.91%,2.81%,4812.43,2348,35,0
11/21/2020,207907,5972,2.87%,2.90%,2.86%,4895.86,2443,34,0
11/22/2020,196610,5392,2.74%,2.89%,2.88%,5144.86,2562,31,0
11/23/2020,191489,5906,3.08%,2.93%,2.90%,5490.00,2724,33,0
11/24/2020,164761,4881,2.96%,2.90%,2.89%,5460.43,2856,51,0
11/25/2020,173085,6265,3.62%,2.94%,2.94%,5599.14,2982,41,0
11/26/2020,217721,6933,3.18%,3.01%,2.96%,5831.00,3056,67,0
11/27/2020,219442,8176,3.73%,3.17%,3.05%,6217.86,3103,39,0
11/28/2020,152355,6063,3.98%,3.32%,3.12%,6230.86,3287,44,0
11/29/2020,157320,6723,4.27%,3.52%,3.21%,6421.00,3372,58,0
11/30/2020,148974,6819,4.58%,3.72%,3.31%,6551.43,3532,57,0
12/1/2020,146675,7285,4.97%,3.97%,3.42%,6894.86,3774,69,0
12/2/2020,193551,8973,4.64%,4.12%,3.51%,7281.71,3924,73,0
12/3/2020,203440,9855,4.84%,4.41%,3.67%,7699.14,4063,66,0
12/4/2020,208297,11271,5.41%,4.71%,3.89%,8141.29,4222,62,0
12/5/2020,215401,10761,5.00%,4.84%,4.07%,8812.43,4318,72,0
12/6/2020,205832,9702,4.71%,4.89%,4.22%,9238.00,4442,60,0
12/7/2020,152287,7302,4.79%,4.92%,4.34%,9307.00,4602,83,0
12/8/2020,162464,9335,5.75%,5.01%,4.52%,9599.86,4835,75,0
12/9/2020,194595,10600,5.45%,5.13%,4.65%,9832.29,4993,97,0
12/10/2020,197406,10178,5.16%,5.17%,4.81%,9878.43,5164,94,0
12/11/2020,212672,10595,4.98%,5.11%,4.92%,9781.86,5321,89,0
12/12/2020,242927,11129,4.58%,5.03%,4.94%,9834.43,5359,88,0
12/13/2020,205250,10194,4.97%,5.07%,4.98%,9904.71,5410,110,0
12/14/2020,159844,9044,5.66%,5.17%,5.04%,10153.57,5712,85,0
12/15/2020,194188,10353,5.33%,5.12%,5.07%,10299.00,5982,132,0
12/16/2020,160947,9998,6.21%,5.21%,5.17%,10213.00,6097,98,0
12/17/2020,202772,10914,5.38%,5.24%,5.21%,10318.14,6147,122,0
12/18/2020,249385,12697,5.09%,5.25%,5.18%,10618.43,6081,122,0
12/19/2020,191476,9919,5.18%,5.36%,5.20%,10445.57,6208,130,0
12/20/2020,197251,9957,5.05%,5.38%,5.22%,10411.71,6185,124,0
12/21/2020,156510,9007,5.75%,5.39%,5.28%,10406.43,6331,111,0
12/22/2020,164868,9716,5.89%,5.46%,5.29%,10315.43,6661,141,0
