Date,Positives,Tests,1-Day %,7-Day %,14-Day %,7-day Positives Average,baseline
9/24/20,5,514,0.97%,0.97%,0.97%,5.00,0
9/25/20,4,607,0.66%,0.80%,0.80%,4.50,0
9/26/20,7,631,1.11%,0.91%,0.91%,5.33,0
9/27/20,5,612,0.82%,0.89%,0.89%,5.25,0
9/28/20,3,568,0.53%,0.82%,0.82%,4.80,0
9/29/20,8,305,2.62%,0.99%,0.99%,5.33,0
9/30/20,8,600,1.33%,1.04%,1.04%,5.71,0
10/1/20,5,875,0.57%,0.95%,0.96%,5.71,0
10/2/20,13,726,1.79%,1.14%,1.07%,7.00,0
10/3/20,17,621,2.74%,1.37%,1.24%,8.43,0
10/4/20,11,844,1.30%,1.43%,1.25%,9.29,0
10/5/20,11,505,2.18%,1.63%,1.31%,10.43,0
10/6/20,8,663,1.21%,1.51%,1.30%,10.43,0
10/7/20,12,742,1.62%,1.55%,1.33%,11.00,0
10/8/20,11,419,2.63%,1.84%,1.41%,11.86,0
10/9/20,22,1034,2.13%,1.91%,1.54%,13.14,0
10/10/20,13,925,1.41%,1.71%,1.56%,12.57,0
10/11/20,6,908,0.66%,1.60%,1.52%,11.86,0
10/12/20,11,587,1.87%,1.57%,1.60%,11.86,0
10/13/20,15,589,2.55%,1.73%,1.62%,12.86,0
10/14/20,10,475,2.11%,1.78%,1.66%,12.57,0
10/15/20,8,603,1.33%,1.66%,1.74%,12.14,0
10/16/20,14,789,1.77%,1.58%,1.74%,11.00,0
10/17/20,15,671,2.24%,1.71%,1.71%,11.29,0
10/18/20,11,5013,0.22%,0.96%,1.20%,12.00,0
10/19/20,19,536,3.54%,1.06%,1.25%,13.14,0
10/20/20,11,200,5.50%,1.06%,1.32%,12.57,0
10/21/20,18,733,2.46%,1.12%,1.36%,13.71,0
10/22/20,14,588,2.38%,1.20%,1.37%,14.57,0
10/23/20,28,526,5.32%,1.40%,1.47%,16.57,0
10/24/20,99,4203,2.36%,1.70%,1.70%,28.57,0
10/25/20,8,634,1.26%,2.65%,1.74%,28.14,0
10/26/20,13,433,3.00%,2.61%,1.77%,27.29,0
10/27/20,13,299,4.35%,2.60%,1.79%,27.57,0
10/28/20,20,362,5.52%,2.77%,1.87%,27.86,0
10/29/20,5,414,1.21%,2.71%,1.87%,26.57,0
10/30/20,74,1553,4.76%,2.94%,2.15%,33.14,0
10/31/20,19,1164,1.63%,3.13%,2.11%,21.71,0
11/1/20,21,610,3.44%,3.41%,2.95%,23.57,0
11/2/20,14,409,3.42%,3.45%,2.94%,23.71,0
11/3/20,26,344,7.56%,3.69%,3.03%,25.57,0
11/4/20,12,0,-,3.81%,3.17%,24.43,0
11/5/20,28,1439,1.95%,3.52%,3.07%,27.71,0
11/6/20,24,629,3.82%,3.13%,3.01%,20.57,0
11/7/20,46,507,9.07%,4.34%,3.67%,24.43,0
11/8/20,6,667,0.90%,3.90%,3.64%,22.29,0
11/9/20,12,302,3.97%,3.96%,3.68%,22.00,0
11/10/20,31,341,9.09%,4.09%,3.87%,22.71,0
11/11/20,25,409,6.11%,4.01%,3.90%,24.57,0
11/12/20,40,637,6.28%,5.27%,4.19%,26.29,0
11/13/20,38,622,6.11%,5.68%,4.23%,28.29,0
11/14/20,32,597,5.36%,5.15%,4.73%,26.29,0
11/15/20,43,924,4.65%,5.77%,4.82%,31.57,0
11/16/20,35,516,6.78%,6.03%,5.02%,34.86,0
11/17/20,52,697,7.46%,6.02%,5.12%,37.86,0
11/18/20,37,495,7.47%,6.17%,5.11%,39.57,0
11/19/20,53,638,8.31%,6.46%,5.94%,41.43,0
11/20/20,38,680,5.59%,6.38%,6.08%,41.43,0
11/21/20,44,1009,4.36%,6.09%,5.69%,43.14,0
11/22/20,61,1038,5.88%,6.31%,6.08%,45.71,0
11/23/20,58,834,6.95%,6.36%,6.22%,49.00,0
11/24/20,38,929,4.09%,5.85%,5.93%,47.00,0
11/25/20,39,785,4.97%,5.60%,5.85%,47.29,0
11/26/20,48,261,18.39%,5.89%,6.14%,46.57,0
11/27/20,60,2086,2.88%,5.01%,5.55%,49.71,0
11/28/20,48,811,5.92%,5.22%,5.59%,50.29,0
11/29/20,29,534,5.43%,5.13%,5.66%,45.71,0
11/30/20,50,624,8.01%,5.17%,5.74%,44.57,0
12/1/20,35,536,6.53%,5.48%,5.67%,44.14,0
12/2/20,52,549,9.47%,5.96%,5.77%,46.00,0
12/3/20,68,658,10.33%,5.90%,5.89%,48.86,0
12/4/20,67,798,8.40%,7.74%,6.09%,49.86,0
12/5/20,62,520,11.92%,8.60%,6.52%,51.86,0
12/6/20,61,714,8.54%,8.98%,6.72%,56.43,0
12/7/20,76,575,13.22%,9.68%,7.06%,60.14,0
12/8/20,43,523,8.22%,9.89%,7.40%,61.29,0
12/9/20,28,572,4.90%,9.29%,7.45%,57.86,0
12/10/20,37,596,6.21%,8.70%,7.09%,53.43,0
12/11/20,59,675,8.74%,8.77%,8.23%,52.29,0
12/12/20,74,581,12.74%,8.92%,8.76%,54.00,0
12/13/20,45,806,5.58%,8.36%,8.67%,51.71,0
12/14/20,45,513,8.77%,7.76%,8.73%,47.29,0
12/15/20,70,548,12.77%,8.34%,9.12%,51.14,0
12/16/20,35,384,9.11%,8.90%,9.10%,52.14,0
12/17/20,56,641,8.74%,9.26%,8.97%,54.86,0
12/18/20,71,672,10.57%,9.55%,9.16%,56.57,0
12/19/20,61,842,7.24%,8.69%,8.81%,54.71,0
12/20/20,41,738,5.56%,8.74%,8.55%,54.14,0
12/21/20,71,640,11.09%,9.07%,8.43%,57.86,0
12/22/20,55,570,9.65%,8.69%,8.52%,55.71,0
12/23/20,63,547,11.52%,8.99%,8.95%,59.71,0
12/24/20,76,684,11.11%,9.33%,9.30%,62.57,0
12/25/20,72,772,9.33%,9.16%,9.34%,62.71,0
12/26/20,59,764,7.72%,9.27%,8.99%,62.43,0
12/27/20,61,557,10.95%,10.08%,9.42%,65.29,0
12/28/20,40,298,13.42%,10.16%,9.60%,60.86,0
12/29/20,55,394,13.96%,10.61%,9.60%,60.86,0
12/30/20,71,427,16.63%,11.14%,9.97%,62.00,0
12/31/20,59,501,11.78%,11.23%,10.17%,59.57,0
1/1/21,74,0,-,14.25%,11.09%,59.86,0
1/2/21,72,3387,2.13%,7.76%,8.45%,61.71,0
1/3/21,63,450,14.00%,7.95%,8.92%,62.00,0
1/4/21,39,333,11.71%,7.88%,8.87%,61.86,0
1/5/21,53,317,16.72%,7.96%,9.09%,61.57,0
1/6/21,59,434,13.59%,7.73%,9.15%,59.86,0
1/7/21,63,514,12.26%,7.78%,9.18%,60.43,0
1/8/21,97,634,15.30%,7.35%,9.60%,63.71,0
