Date,WSQ,TAN,LAW,DEN,SIL,WAG,SPS,ISA,IFA
9/26/20,7,2,0,0,0,0,1,0,0
9/27/20,13,1,0,2,0,0,1,0,0
9/28/20,20,1,1,1,0,0,0,0,0
9/29/20,0,0,0,0,0,0,0,0,0
9/30/20,20,2,2,0,0,0,1,0,0
10/1/20,4,4,0,1,0,0,0,0,0
10/2/20,1,0,0,0,0,0,0,0,0
10/3/20,0,0,0,0,0,0,0,0,0
10/4/20,19,2,1,2,0,0,1,0,0
10/5/20,17,3,2,0,0,0,2,0,0
10/6/20,0,0,0,0,0,0,0,0,0
10/7/20,0,0,0,0,0,0,0,0,0
10/8/20,6,0,1,0,1,0,0,0,0
10/9/20,1,0,2,4,0,0,0,0,0
10/10/20,0,0,0,0,0,0,0,0,0
10/11/20,5,0,0,0,0,0,0,0,0
10/12/20,0,0,0,0,0,0,0,0,0
10/13/20,2,0,0,0,0,0,0,0,0
10/14/20,2,0,0,0,0,0,0,0,1
10/15/20,3,0,0,0,0,0,0,0,0
10/16/20,8,1,0,0,0,0,0,0,0
10/17/20,14,0,4,4,0,0,0,0,0
10/18/20,27,3,3,4,0,1,2,0,1
10/19/20,3,0,0,0,0,0,1,0,0
10/20/20,1,1,0,0,0,0,0,0,0
10/21/20,4,2,0,2,0,0,0,0,0
10/22/20,2,0,0,1,0,0,0,0,0
10/23/20,1,0,0,0,0,0,1,0,0
