Date,Off-campus cases,On-campus cases,Active cases,Infectious cases,Quarantined students,Isolated students,baseline
CURRENT,100.0%,0.0%,301,135,34,1,0
8/17/2020,-,-,-,-,-,-,0
8/18/2020,-,-,-,-,-,-,0
8/19/2020,-,-,-,-,-,-,0
8/20/2020,-,-,-,-,-,-,0
8/21/2020,-,-,-,-,-,-,0
8/22/2020,-,-,-,-,-,-,0
8/23/2020,-,-,-,6,-,-,0
8/24/2020,-,-,-,6,-,-,0
8/25/2020,-,-,-,6,-,-,0
8/26/2020,-,-,-,6,-,-,0
8/27/2020,-,-,-,4,-,-,0
8/28/2020,-,-,-,6,-,-,0
8/29/2020,-,-,-,6,-,-,0
8/30/2020,-,-,11,5,-,-,0
8/31/2020,-,-,11,5,-,-,0
9/1/2020,-,-,11,5,-,-,0
9/2/2020,-,-,13,7,-,-,0
9/3/2020,-,-,12,8,-,-,0
9/4/2020,-,-,13,7,-,-,0
9/5/2020,-,-,14,8,-,-,0
9/6/2020,-,-,13,8,-,-,0
9/7/2020,-,-,13,8,-,-,0
9/8/2020,-,-,13,8,-,-,0
9/9/2020,-,-,13,6,-,-,0
9/10/2020,-,-,18,10,-,-,0
9/11/2020,-,-,18,11,-,-,0
9/12/2020,-,-,42,34,-,-,0
9/13/2020,-,-,46,38,-,-,0
9/14/2020,-,-,46,38,-,-,0
9/15/2020,-,-,46,38,-,-,0
9/16/2020,-,-,56,50,-,-,0
9/17/2020,-,-,62,52,-,-,0
9/18/2020,-,-,71,60,-,-,0
9/19/2020,-,-,77,43,-,-,0
9/20/2020,-,-,91,53,-,-,0
9/21/2020,-,-,91,53,-,-,0
9/22/2020,-,-,91,53,-,-,0
9/23/2020,-,-,101,51,-,-,0
9/24/2020,-,-,112,60,-,-,0
9/25/2020,-,-,130,70,-,-,0
9/26/2020,-,-,115,72,-,-,0
9/27/2020,-,-,128,75,-,-,0
9/28/2020,-,-,151,98,-,-,0
9/29/2020,62.8%,37.2%,153,100,186,43,0
9/30/2020,55.7%,44.3%,166,115,207,61,0
10/1/2020,56.7%,43.3%,167,107,219,60,0
10/2/2020,58.3%,41.7%,157,87,222,60,0
10/3/2020,58.3%,41.7%,149,77,222,60,0
10/4/2020,57.6%,42.4%,160,85,206,66,0
10/5/2020,52.7%,47.3%,184,86,120,55,0
10/6/2020,52.7%,47.3%,184,84,120,55,0
10/7/2020,60.0%,40.0%,174,59,240,45,0
10/8/2020,60.0%,40.0%,166,59,240,45,0
10/9/2020,60.0%,40.0%,152,65,240,45,0
10/10/2020,54.8%,45.2%,143,66,219,42,0
10/11/2020,55.6%,44.4%,131,46,203,45,0
10/12/2020,55.6%,44.4%,108,22,203,45,0
10/13/2020,55.6%,44.4%,108,24,203,45,0
10/14/2020,65.0%,35.0%,86,27,162,20,0
10/15/2020,63.2%,36.8%,80,21,161,19,0
10/16/2020,54.5%,45.5%,88,23,173,22,0
10/17/2020,58.6%,41.4%,110,44,163,29,0
10/18/2020,61.8%,38.2%,126,80,171,55,0
10/19/2020,59.0%,41.0%,106,84,173,61,0
10/20/2020,59.0%,41.0%,108,84,173,61,0
10/21/2020,59.7%,40.3%,116,89,181,62,0
10/22/2020,58.6%,41.4%,110,89,182,58,0
10/23/2020,60.5%,39.5%,105,82,182,43,0
10/24/2020,64.3%,35.7%,108,64,179,28,0
10/25/2020,52.6%,47.4%,103,23,175,19,0
10/26/2020,57.1%,42.9%,103,19,180,14,0
10/27/2020,42.9%,57.1%,101,17,182,7,0
10/28/2020,58.3%,41.7%,104,15,180,12,0
