#,Date,7-Day %,14-Day %
1,11/18/2020,0.43,0.32
2,11/19/2020,0.41,0.33
3,11/20/2020,0.42,0.36
4,11/21/2020,0.42,0.37
5,11/22/2020,0.56,0.49
6,11/23/2020,0.51,0.49
7,11/24/2020,0.68,0.54
8,11/25/2020,0.61,0.52
9,11/26/2020,0.61,0.52
10,11/27/2020,0.64,0.52
11,11/28/2020,0.69,0.53
12,11/29/2020,0.51,0.54
13,11/30/2020,0.86,0.59
14,12/1/2020,0.92,0.75
15,12/2/2020,1.61,0.77
16,12/3/2020,1.66,0.80
17,12/4/2020,1.36,0.85
18,12/5/2020,1.10,0.87
19,12/6/2020,0.89,0.72
20,12/7/2020,0.70,0.76
21,12/8/2020,0.71,0.78
22,12/9/2020,0.56,0.78
23,12/10/2020,0.55,0.80
24,12/11/2020,0.57,0.83
25,12/12/2020,0.70,0.88
26,12/13/2020,0.82,0.86
27,12/14/2020,0.94,0.81
28,12/15/2020,0.96,0.82
29,12/16/2020,1.16,0.81
30,12/17/2020,1.21,0.81
31,12/18/2020,1.42,0.89
32,12/19/2020,1.02,0.85
33,12/20/2020,1.17,0.98
34,12/21/2020,0.98,0.96
35,12/22/2020,0.93,0.95
36,12/23/2020,0.89,1.03
37,12/24/2020,0.74,0.97
38,12/25/2020,0.49,0.91
39,12/26/2020,0.55,0.85
40,12/27/2020,0.44,0.87
41,12/28/2020,0.38,0.82
42,12/29/2020,0.38,0.78
43,12/30/2020,0.00,0.74
44,12/31/2020,0.00,0.62
45,1/1/2021,0.00,0.40
46,1/2/2021,0.00,0.37
47,1/3/2021,0.00,0.28
48,1/4/2021,0.19,0.29
49,1/5/2021,0.33,0.35
50,1/6/2021,0.55,0.34
51,1/7/2021,0.77,0.51
52,1/8/2021,1.15,0.71
53,1/9/2021,1.24,0.75
54,1/10/2021,1.36,0.83
55,1/11/2021,1.32,0.92
56,1/12/2021,1.35,0.97
57,1/13/2021,1.42,1.09
58,1/14/2021,1.76,1.38
59,1/15/2021,2.14,1.75
60,1/16/2021,2.59,1.96
61,1/17/2021,2.56,1.97
62,1/18/2021,2.21,1.75
63,1/19/2021,2.29,1.83
64,1/20/2021,2.02,1.75
65,1/21/2021,2.08,1.95
66,1/22/2021,1.91,2.01
67,1/23/2021,1.56,1.93
68,1/24/2021,1.45,1.82
69,1/25/2021,1.59,1.78
70,1/26/2021,1.37,1.66
71,1/27/2021,1.43,1.65
72,1/28/2021,1.25,1.59
73,1/29/2021,1.22,1.45
74,1/30/2021,1.13,1.29
75,1/31/2021,1.14,1.26
76,2/1/2021,1.13,1.32
77,2/2/2021,1.25,1.30
78,2/3/2021,1.15,1.27
79,2/4/2021,1.19,1.22
80,2/5/2021,1.29,1.25
81,2/6/2021,1.33,1.21
82,2/7/2021,1.24,1.18
83,2/8/2021,0.94,1.05
84,2/9/2021,0.89,1.07
85,2/10/2021,0.94,1.06
86,2/11/2021,0.88,1.04
87,2/12/2021,0.69,0.91
88,2/13/2021,0.63,0.89
89,2/14/2021,0.57,0.83
90,2/15/2021,0.60,0.76
