,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Covid
Reportcard",,,Washington Square,,,,,,,,,,,,,,,,,,Tandon,,,,,,,,,,,,,,,,,,School of Law,,,,,,,,,,,,,,,,,,College of Dentistry,,,,,,,,,,,,,,,,,,Silver,,,,,,,,,,,,,,,,,,Wagner,,,,,,,,,,,,,,,,,,School of Professional Studies,,,,,,,,,,,,,,,,,,Institute for Study of the Ancient World,,,,,,,,,,,,,,,,,,Institute of Fine Arts,,,,,,,,,,,,,,,,,,Overall,,,,,,,,,,,,,Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WSQ,,,,,,,,,,,,,,,,,,TAN,,,,,,,,,,,,,,,,,,LAW,,,,,,,,,,,,,,,,,,DEN,,,,,,,,,,,,,,,,,,SIL,,,,,,,,,,,,,,,,,,WAG,,,,,,,,,,,,,,,,,,SPS,,,,,,,,,,,,,,,,,,ISA,,,,,,,,,,,,,,,,,,IFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Block,,Total Block,Overall Positive,New Positives Yday,New Positives Week,PCR,Rooms Available,Rooms in Use,Students Quarantined,Students Isolated,Off-Campus,On-Campus,Total Hospitalities,Total Fatalities,Change in Block,New Positives,New Tests,1-Day Positivity,,Total Block,Overall Positive,New Positives Yday,New Positives Week,PCR,Rooms Available,Rooms in Use,Students Quarantined,Students Isolated,Off-Campus,On-Campus,Total Hospitalities,Total Fatalities,Change in Block,New Positives,New Tests,1-Day Positivity,,Total Block,Overall Positive,New Positives Yday,New Positives Week,PCR,Rooms Available,Rooms in Use,Students Quarantined,Students Isolated,Off-Campus,On-Campus,Total Hospitalities,Total Fatalities,Change in Block,New Positives,New Tests,1-Day Positivity,,Total Block,Overall Positive,New Positives Yday,New Positives Week,PCR,Rooms Available,Rooms in Use,Students Quarantined,Students Isolated,Off-Campus,On-Campus,Total Hospitalities,Total Fatalities,Change in Block,New Positives,New Tests,1-Day Positivity,,Total Block,Overall Positive,New Positives Yday,New Positives Week,PCR,Rooms Available,Rooms in Use,Students Quarantined,Students Isolated,Off-Campus,On-Campus,Total Hospitalities,Total Fatalities,Change in Block,New Positives,New Tests,1-Day Positivity,,Total Block,Overall Positive,New Positives Yday,New Positives Week,PCR,Rooms Available,Rooms in Use,Students Quarantined,Students Isolated,Off-Campus,On-Campus,Total Hospitalities,Total Fatalities,Change in Block,New Positives,New Tests,1-Day Positivity,,Total Block,Overall Positive,New Positives Yday,New Positives Week,PCR,Rooms Available,Rooms in Use,Students Quarantined,Students Isolated,Off-Campus,On-Campus,Total Hospitalities,Total Fatalities,Change in Block,New Positives,New Tests,1-Day Positivity,,Total Block,Overall Positive,New Positives Yday,New Positives Week,PCR,Rooms Available,Rooms in Use,Students Quarantined,Students Isolated,Off-Campus,On-Campus,Total Hospitalities,Total Fatalities,Change in Block,New Positives,New Tests,1-Day Positivity,,Total Block,Overall Positive,New Positives Yday,New Positives Week,PCR,Rooms Available,Rooms in Use,Students Quarantined,Students Isolated,Off-Campus,On-Campus,Total Hospitalities,Total Fatalities,Change in Block,New Positives,New Tests,1-Day Positivity,,Total Block,Change,Total New Positives,Total New Tests,Overall Positive %,Students in Isolation,Students in Quarantine,% Off-campus,% On-campus,Rooms Open,Active,Infectious,,Total New Positives,Total Tests,Overall Positive %,Rollover Cases,Rollover-Adjusted Positivity,,,,,,,,,,,,,,,,
09/25/20,2,,68,,,,"34,549",,,,,,,,,+68,,,,,9,,,,"3,960",,,,,,,,,+9,,,,,1,,,,"1,070",,,,,,,,,+1,,,,,9,,,,"1,384",,,,,,,,,+9,,,,,0,,,,276,,,,,,,,,-,,,,,,,,,,,,,,,,,,-,,,,,5,,,,"1,540",,,,,,,,,+5,,,,,0,,,,11,,,,,,,,,-,,,,,0,,,,122,,,,,,,,,-,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/26/20,3,,7,,,,"35,783",,,,,,,,,+7,7 ,"1,234 ",0.57%,,2,,,,"4,112",,,,,,,,,+2,2 ,152 ,1.32%,,0,,,,"1,124",,,,,,,,,-,0 ,54 ,0.00%,,0,,,,"1,508",,,,,,,,,-,0 ,124 ,0.00%,,0,,,,288,,,,,,,,,-,0 ,12 ,0.00%,,,,,,,,,,,,,,,-,0 ,0 ,-,,1,,,,"1,601",,,,,,,,,+1,1 ,61 ,1.64%,,0,,,,14,,,,,,,,,-,0 ,3 ,0.00%,,0,,,,127,,,,,,,,,-,0 ,5 ,0.00%,,10,+10,10 ,"1,655 ",0.60%,0 ,0 ,-,-,0 ,,,,,,,,,,,,,,,,,,,,,,,,
09/27/20,3,,20,,,,"37,943",,,,,,,,,+13,13 ,"2,160 ",0.60%,,3,,,,"4,308",,,,,,,,,+1,1 ,196 ,0.51%,,0,,,,"1,204",,,,,,,,,-,0 ,80 ,0.00%,,2,,,,"1,714",,,,,,,,,+2,2 ,206 ,0.97%,,0,,,,305,,,,,,,,,-,0 ,17 ,0.00%,,,,,,,,,,,,,,,-,0 ,0 ,-,,2,,,,"1,672",,,,,,,,,+1,1 ,71 ,1.41%,,0,,,,17,,,,,,,,,-,0 ,3 ,0.00%,,0,,,,140,,,,,,,,,-,0 ,13 ,0.00%,,27,+17,17 ,"2,774 ",0.61%,0 ,0 ,-,-,0 ,,,,27 ,"4,429 ",0.61%,17 ,0.23%,09/21/20,09/27/20,09/21-09/27,,,,,,,,,,,,,
09/28/20,3,,40,,,,"39,956",,,,,,,,,+20,20 ,"2,013 ",0.99%,,4,,,,"4,462",,,,,,,,,+1,1 ,154 ,0.65%,,1,,,,"1,279",,,,,,,,,+1,1 ,75 ,1.33%,,3,,,,"1,974",,,,,,,,,+1,1 ,260 ,0.38%,,0,,,,319,,,,,,,,,-,0 ,14 ,0.00%,,,,,,,,,,,,,,,-,0 ,0 ,-,,2,,,,"1,756",,,,,,,,,-,0 ,84 ,0.00%,,0,,,,19,,,,,,,,,-,0 ,2 ,0.00%,,0,,,,157,,,,,,,,,-,0 ,17 ,0.00%,,50,+23,23 ,"2,641 ",0.87%,0 ,0 ,-,-,0 ,,,,,,,,,,,,,,,,,,,,,,,,
09/29/20,3,,40,108,0,20,"39,956",346,59,150,31,17,14,0,0,-,0 ,0 ,-,,4,13,0,1,"4,462",346,59,20,4,2,2,0,0,-,0 ,0 ,-,,1,2,0,1,"1,279",346,59,2,1,1,0,0,0,-,0 ,0 ,-,,3,12,0,1,"1,974",346,59,7,5,5,0,0,0,-,0 ,0 ,-,,0,0,0,0,319,346,59,0,0,0,0,0,0,-,0 ,0 ,-,,0,,,,,346,59,,0,,,,,-,0 ,0 ,-,,2,7,0,0,"1,756",346,59,7,2,2,0,0,0,-,0 ,0 ,-,,0,0,0,0,19,346,59,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,157,346,59,0,0,0,0,0,0,-,0 ,0 ,-,,50,-,0 ,0 ,-,43 ,186 ,62.8%,37.2%,287 ,,,,,,,,,,,,,,,,,,,,,,,,
09/30/20,3,,60,128,20,40,"42,875",346,49,165,44,21,23,0,0,+20,20 ,"2,919 ",0.69%,,6,15,2,3,"4,859",346,49,23,8,4,4,0,0,+2,2 ,397 ,0.50%,,3,4,2,3,"1,396",346,49,1,2,2,0,0,0,+2,2 ,117 ,1.71%,,3,12,0,1,"2,249",346,49,10,4,4,0,0,0,-,0 ,275 ,0.00%,,0,0,0,0,437,346,49,0,0,0,0,0,0,-,0 ,118 ,0.00%,,0,0,0,0,0,346,49,0,0,0,0,0,0,-,0 ,0 ,-,,3,8,1,1,"1,874",346,49,8,3,3,0,0,0,+1,1 ,118 ,0.85%,,0,0,0,0,24,346,49,0,0,0,0,0,0,-,0 ,5 ,0.00%,,0,0,0,0,170,346,49,0,0,0,0,0,0,-,0 ,13 ,0.00%,,75,+25,25 ,"3,962 ",0.63%,61 ,207 ,55.7%,44.3%,297 ,,,,,,,,,,,,,,,,,,,,,,,,
